Name,IATA Code,ICAO Code,Country,City,City Code,Latitude,Longitude,Timezone,Departures
Fort Good Hope Airport,YGH,CYGH,CA,Fort Good Hope,YGH,66.24066,-128.6478,America/Yellowknife,268
Fort Hope Airport,YFH,CYFH,CA,Fort Hope,YFH,51.5619,-87.9078,America/Toronto,
Fort Liard Airport,YJF,CYJF,CA,Fort Liard,,60.23564,-123.47071,America/Yellowknife,
Fort MacKay/Albian Aerodrome,JHL,,CA,Albian Village,,57.2278,-111.419,America/Edmonton,
Fort MacKay/Firebag Aerodrome,YFI,CYFI,CA,Suncor Energy Site,,57.28192,-111.09452,America/Edmonton,
Fort MacKay/Horizon Airport,HZP,CYNR,CA,Fort Mackay,HZP,57.37,-111.7,America/Edmonton,
Fort McMurray Airport,YMM,CYMM,CA,Fort McMurray,YMM,56.65333,-111.22194,America/Edmonton,1472
Fort McMurray/Mildred Lake Airport,NML,,CA,Fort McMurray,,57.05488,-111.57286,America/Edmonton,
Fort Mcpherson Airport,ZFM,CZFM,CA,Fort Mcpherson,ZFM,67.4075,-134.86056,America/Yellowknife,
Fort Providence Airport,,CYJP,CA,Fort Providence,,61.31667,-117.6,America/Yellowknife,
Fort Reliance Seaplance Base,YFL,,CA,Fort Reliance,,62.71596,-109.16153,America/Yellowknife,
Fort Resolution Airport,YFR,CYFR,CA,Fort Resolution,YFR,61.18083,-113.68972,America/Yellowknife,
Fort Severn Airport,YER,CYER,CA,Fort Severn,YER,56.0189,-87.6761,America/Toronto,
Fort Simpson Airport,YFS,CYFS,CA,Fort Simpson,YFS,61.76015,-121.23653,America/Yellowknife,295
Fort Smith Airport,YSM,CYSM,CA,Fort Smith,YSM,60.02028,-111.96194,America/Yellowknife,429
Fort St. James (Perison) Airport,,CYJM,CA,Fort St. James,,54.3969,-124.26267,America/Vancouver,
Fort St. John Airport,YXJ,CYXJ,CA,Fort Saint John,YXJ,56.23806,-120.74028,America/Dawson_Creek,886
Fredericton International Airport,YFC,CYFC,CA,Fredericton,YFC,45.86999,-66.53217,America/Moncton,804
Gahcho Kue Aerodrome,GHK,,CA,,,63.43362,-109.20067,America/Yellowknife,
Gameti/Rae Lakes Airport,YRA,CYRA,CA,Gamètì,YRA,64.11599,-117.30958,America/Yellowknife,
Gander International Airport,YQX,CYQX,CA,Gander,YQX,48.94483,-54.56081,America/St_Johns,416
Ganges Water Aerodrome,YGG,,CA,Duncan,DUQ,48.85344,-123.49694,America/Vancouver,
Gatineau-Ottawa Executive Airport,YND,CYND,CA,Gatineau,YND,45.52169,-75.56359,America/Toronto,
Geraldton (Greenstone Regional) Airport,YGQ,CYGQ,CA,Geraldton,YGQ,49.77833,-86.93945,America/Toronto,
Gillam Airport,YGX,CYGX,CA,Gillam,YGX,56.35739,-94.71116,America/Winnipeg,
Gimli Industrial Park Airport,YGM,CYGM,CA,Gimli,,50.62806,-97.04333,America/Winnipeg,
Gjoa Haven Airport,YHK,CYHK,CA,Gjoa Haven,YHK,68.63556,-95.84972,America/Cambridge_Bay,268
Goderich Airport,,CYGD,CA,Goderich,,43.76589,-81.70858,America/Toronto,
Gods Lake Narrows Airport,YGO,CYGO,CA,Gods Lake Narrows,YGO,54.5589,-94.4914,America/Winnipeg,
Gods River Airport,ZGI,CZGI,CA,Gods River,ZGI,54.8397,-94.0786,America/Winnipeg,
Golden Airport,,CYGE,CA,Golden,,51.29917,-116.98222,America/Edmonton,
Gore Bay-Manitoulin Airport,YZE,CYZE,CA,Gore Bay,,45.88391,-82.5708,America/Toronto,
Gorge Harbour Seaplane Base,YGE,,CA,Gorge Harbour,YGE,50.0613,-124.97558,America/Vancouver,
Grand Forks Airport,ZGF,CZGF,CA,Grand Forks,,49.0156,-118.431,America/Vancouver,
Grande Cache Airport,YGC,,CA,,,53.23,-119,America/Edmonton,
Grande Prairie Airport,YQU,CYQU,CA,Grande Prairie,YQU,55.17814,-118.8804,America/Edmonton,1048
Great Bear Lake Airport,DAS,,CA,Great Bear Lake,,66.70279,-119.71536,America/Yellowknife,
Greater Moncton International Airport,YQM,CYQM,CA,Moncton,YQM,46.11311,-64.68557,America/Moncton,1571
Greater Sudbury Airport,YSB,CYSB,CA,Sudbury,YSB,46.625,-80.79889,America/Toronto,857
"Green Island Light Station - Heliport, B. C.",,CWNJ,CA,,,54.56778,-130.70572,America/Whitehorse,
Greenway Sound Seaplane Base,YGN,CYGN,CA,Broughton Island,YGN,50.84015,-126.77261,America/Vancouver,
Grise Fiord Airport,YGZ,CYGZ,CA,Grise Fiord,YGZ,76.42552,-82.9073,America/Iqaluit,54
Haines Junction Airport,YHT,CYHT,CA,Haines Junction,,60.7892,-137.54601,America/Whitehorse,
Hakai Pass Seaplane Base,YHC,,CA,,,51.73686,-128.1241,America/Vancouver,
Halifax (Queen Elizabeth II Health Science Centre) Heliport,,CHQE,CA,Halifax,,44.64594101,-63.58653098,America/Halifax,
Halifax South End Heliport,YWF,,CA,Halifax,YHZ,44.62547,-63.56343,America/Halifax,
Halifax Stanfield International Airport,YHZ,CYHZ,CA,Halifax,YHZ,44.88392,-63.51171,America/Halifax,6279
Hall Beach Airport,YUX,CYUX,CA,Sanirajak,YUX,68.77611,-81.24361,America/Iqaluit,135
Hardisty Airport,,CEA5,CA,Hardisty,,52.646516,-111.379391,America/Edmonton,
Hartley Bay Water Aerodrome,YTB,,CA,,,53.42329,-129.25067,America/Vancouver,
Hatchet Lake Airport,YDJ,,CA,Hatchet Lake,,58.66225,-103.54134,America/Regina,
Havre Saint-Pierre Airport,YGV,CYGV,CA,Havre-Saint-Pierre,YGV,50.28194,-63.61139,America/Toronto,
Hay River/Merlyn Carter Airport,YHY,CYHY,CA,Hay River,YHY,60.83972,-115.78278,America/Yellowknife,294
Hearst (Rene Fontaine) Municipal Airport,YHF,CYHF,CA,Hearst,,49.7142,-83.6861,America/Toronto,
Helmet,,CBH2,CA,Helmet,,59.5,-120.938889,America/Vancouver,
Herschel Island Field,ZHH,ZHZH,CA,Herschel Island (Yukon Territory),,69.548229,-139.091608,America/Dawson,
High Level Airport,YOJ,CYOJ,CA,High Level,YOJ,58.62139,-117.16472,America/Edmonton,160
High Prairie Airport,ZHP,CZHP,CA,High Prairie,,55.39361,-116.47528,America/Edmonton,
Hinton/Jasper-Hinton Airport,YJP,,CA,Hinton,,53.32042,-117.75164,America/Edmonton,
Hope Aerodrome,YHE,CYHE,CA,Hope,YCW,49.36882,-121.4945,America/Vancouver,
Hope Bay Airport,UZM,,CA,Hope Bay,,68.1639,-106.614,America/Cambridge_Bay,
Hopedale Airport,YHO,CYHO,CA,Hopedale,YHO,55.4483,-60.2286,America/Goose_Bay,
Horn River Heliport,DHO,,CA,,,59.46078,-122.25908,America/Fort_Nelson,
Hornepayne Municipal Airport,YHN,CYHN,CA,Hornepayne,YHN,49.1931,-84.7589,America/Toronto,
Houston Airport,ZHO,,CA,,,54.43808,-126.77789,America/Vancouver,
Hudson Bay Airport,YHB,CYHB,CA,Hudson Bay,YHB,52.81667,-102.31139,America/Regina,
Hudson's Hope Airport,YNH,CYNH,CA,Hudson's Hope,,56.03388,-121.98635,America/Dawson_Creek,
Igloolik Airport,YGT,CYGT,CA,Igloolik,YGT,69.365,-81.81746,America/Iqaluit,188
Ignace Municipal Airport,ZUC,CZUC,CA,Ignace,,49.4297,-91.7178,America/Winnipeg,
Ile-a-la-Crosse Airport,,CJF3,CA,Ile-a-la-Crosse,,55.486824,-107.927378,America/Regina,
Iles-de-la-Madeleine Airport,YGR,CYGR,CA,Les Îles-de-la-Madeleine,YGR,47.42472,-61.77806,America/Halifax,427
Ilford Airport,ILF,CZBD,CA,Ilford,ILF,56.05148,-95.61401,America/Winnipeg,
Inukjuak Airport,YPH,CYPH,CA,Inukjuak,YPH,58.46944,-78.08052,America/Toronto,270
Inuvik (Mike Zubko) Airport,YEV,CYEV,CA,Inuvik,YEV,68.30417,-133.48278,America/Inuvik,580
Iqaluit Airport,YFB,CYFB,CA,Iqaluit,YFB,63.75503,-68.55254,America/Iqaluit,1741
Island Lake Airport,YIV,CYIV,CA,Island Lake,YIV,53.85691,-94.65383,America/Winnipeg,
Ivujivik Airport,YIK,CYIK,CA,Ivujivik,YIK,62.41733,-77.92528,America/Toronto,270
Jasper airport,YJA,CYJA,CA,Jasper,YJA,52.99629,-118.0602,America/Edmonton,
Jean Lesage International Airport,YQB,CYQB,CA,Quebec,YQB,46.79227,-71.38431,America/Toronto,3723
Jenpeg Airport,ZJG,CZJG,CA,Jenpeg,,54.5189,-98.0461,America/Winnipeg,
John C. Munro Hamilton International Airport,YHM,CYHM,CA,Hamilton,YHM,43.17094,-79.92914,America/Toronto,2379
Johnson Point Airport,YUN,,CA,,,72.76805,-118.49784,America/Yellowknife,
Kamloops Airport,YKA,CYKA,CA,Kamloops,YKA,50.70222,-120.44444,America/Vancouver,1514
Kangiqsualujjuaq Georges River Airport,XGR,CYLU,CA,Kangiqsualujjuaq,XGR,58.70973,-65.99267,America/Iqaluit,251
Kangiqsujuaq (Wakeham Bay) Airport,YWB,CYKG,CA,Kangiqsujuaq,YWB,61.58853,-71.92951,America/Toronto,270
Kangirsuk Airport,YKG,CYAS,CA,Kangirsuk,YKG,60.02305,-70.00321,America/Toronto,328
Kapuskasing Airport,YYU,CYYU,CA,Kapuskasing,YYU,49.41389,-82.4675,America/Toronto,
Kasabonika Airport,XKS,CYAQ,CA,Kasabonika,XKS,53.5247,-88.6428,America/Winnipeg,
Kasba Lake Airport,YDU,,CA,Kasba Lake,,60.29183,-102.50175,America/Yellowknife,
Kashechewan Airport,ZKE,CZKE,CA,Kashechewan,ZKE,52.2825,-81.6778,America/Toronto,
Kattiniq/Donaldson Airport,YAU,,CA,Kattiniq,,61.662,-73.32129,America/Toronto,
