Name,country_code,iata_code,iata_prefix,iata_accounting,callsign,is international,iosa_registered,iosa_expiry,is_passenger,is_cargo,is_scheduled,total_aircrafts,average_fleet_age,accidents_last_5y,crashes_last_5y,website,twitter,facebook,instagram,linkedin
Aero Jet Express,MX,,,,JETEXPRESS,N/A,0,,,,,4,35,0,0,,,,,
Aero Jet International,US,,,,REVAAIR,N/A,,,,,,,,,,,,facebook.com/REVAAirAmbulance,instagram.com/revaairambulance/,linkedin.com/company/reva-air-ambulance/
Aero Jet,AO,,,,,N/A,,,,,,,,,,,,,,
Aero JL,MX,,,,AEROJOE,N/A,,,,,,,,,,,,,,
Aero Jomacha,MX,,,,AEROJOMACHA,N/A,,,,,,,,,,,,,,
Aero K Airlines,KR,RF,,711,AEROKOREA,N/A,,,1,,1,,,,,,,facebook.com/fly.aeroK,instagram.com/aerok.official/,
Aero Lider,MX,,,,AEROLIDER,N/A,,,,,,,,,,,,,,
Aero Link Air Services,ES,,,,LINKSERVICE,N/A,,,,,,,,,,,,,,
Aero Marat,MX,,,,AEROMARAT,N/A,,,,,,,,,,,,,,
Aero Mcfly,MX,,,,MCFLY,N/A,,,,,,,,,,,,,,
Aero Modelo,MX,,,,AEROMODELO,N/A,,,,,,,,,,,,,,
Aero Mongolia,MN,M0,970,970,AEROMONGOLIA,N/A,,,1,1,1,1,16,,,,,facebook.com/AEROMONGOLIAAIRLINE,,
Aero,NG,N2,,,AEROLINE,N/A,,,1,1,1,11,27.5,,,,,facebook.com/aerocontractors,,linkedin.com/pub/aero-contractors/26/405/b87
Aero Nomad Airlines,KG,KA,,212,AERONOMAD,N/A,,,1,,1,,,,,,,,,
Aero Patagonia,CL,,,,,N/A,,,,,,,,,,,,,,
Aero Personal,MX,,,,AEROPERSONAL,N/A,0,,,,,7,10.3,0,0,,,,,
Aero Premier de Mexico,MX,,,,AEROPREMIER,N/A,,,,,,,,,,,,,,
Aero-Pyrenees,FR,,,,AEROPYRENEES,N/A,,,1,,,,,,,,,facebook.com/AEROPYRENEES.ATO,instagram.com/aeropyrenees/,linkedin.com/in/aeropyrenees-flight-training-center-06012872/
Aero Quimmco,MX,,,,QUIMMCO,N/A,,,,,,,,,,,,,,
Aero Renta de Coahuila,MX,,,,AEROCOAHUILA,N/A,0,,,,,1,40,0,0,,,,,
Aero-Rey,MX,,,,AEROREY,N/A,0,,1,,,1,16,0,0,,,,,
Aero Roa,MX,,,,AERORIA,N/A,,,,,,,,,,,,,,
Aero Roca,MX,,,,AEROROCA,N/A,0,,,,,1,20,0,0,,,,,
Aero Salmon,MX,,,,AEROSAL,N/A,,,,,,,,,,,,,,
Aero Sami,MX,,,,SAMI,N/A,0,,,,,4,14.8,0,0,,,,,
Aero Service Bolivia,BO,,,,,N/A,,,1,,,,,,,,,,,
Aero Services,BB,,,,AEROSERV,N/A,,,,,,,,,,,,,,
Aero Servicio Guerrero,MX,,,,AEROGUERRERO,N/A,,,,,,,,,,,,,,
Aero Servicio Tipy,MX,,,,PITY,N/A,,,,,,,,,,,,,,
Aero Servicio Corporativo,MX,,,,SERVICORP,N/A,,,,,,,,,,,,,,
Aero Servicios Empresariales,MX,,,,SERVIEMPRESARIAL,N/A,,,,,,,,,,,,,,
Aero Servicios Regiomontanos,MX,,,,ASERGIO,N/A,,,,,,,,,,,,,,
Aero Servicios Platinum,MX,,,,AEROPLATINUM,N/A,,,,,,,,,,,,,,
Aero Servicios,MX,,,,AEROSERVICIOS,N/A,,,,,,,,,,,,,,
Aero Servicios Ejecutivas Del Pacifico,MX,,,,SERVIPACIFICO,N/A,,,,,,,,,,,,,,
Aero Servicios Ejecutivos Internacionales,MX,,,,ASEISA,N/A,,,,,,,,,,,,,,
Aero Servicios Especializados,MX,,,,AEROESPECIAL,N/A,0,,,,,21,10.3,0,0,,,,,
Aero Servicios Azteca,MX,,,,AEROAZTECA,N/A,0,,,,,3,25.7,0,0,,,,,
Aero Servicios Vanguardia,MX,,,,VANGUARDIA,N/A,,,,,,,,,,,,,,
