itinerary_id,stop_count,duration_in_hours,one_way_price_candollar,cabin_class_id,operating_airline_id,marketing_airline_id
18467-2504171324--32385-1-10968-2504171835,1,2.33,808,cc2,al4,al4
18467-2504171720--32573-0-10968-2504172000,0,3.67,527,cc3,al2,al2
18467-2504170645--32573-0-10968-2504170929,0,3.73,649,cc3,al2,al2
18467-2504171329--32573-0-10968-2504171614,0,3.75,593,cc3,al5,al2
18467-2504171400--31722-0-10968-2504171634,0,3.57,1049,cc4,al3,al15
18467-2504171940--31722-0-10968-2504172214,0,3.57,1558,cc4,al3,al15
18467-2504170630--32573-1-10968-2504171056,1,1.92,576,cc4,al5,al2
18467-2504170630--32573-1-10968-2504171056,1,2.68,576,cc4,al2,al2
18467-2504170900--31722-1-10968-2504171332,1,2.02,825,cc4,al15,al15
18467-2504170900--31722-1-10968-2504171332,1,2.78,825,cc4,al15,al15
