itinerary_id,itineraries
it442,18467-2508010600--32385-1-10968-2508011015
it443,18467-2508011320--32385-1-10910-2508011749
it444,18467-2508010745--32385-1-10968-2508011215
it445,18467-2508011855--32385-1-10910-2508012338
it446,18467-2508010655--32573-0-10968-2508010915
it447,18467-2508011324--32573-0-10968-2508011544
it448,18467-2508011655--32573-0-10968-2508011915
it449,18467-2508011640--31722-0-10968-2508011902
it450,18467-2508010820--31722-0-10968-2508011042
it451,18467-2508012000--31722-0-10968-2508012222
it452,18467-2508010900--31722-1-10968-2508011320
it453,18467-2508011100--31722-1-10968-2508011522
it454,18467-2508010700--31722-1-10968-2508011124
it455,18467-2508011300--31722-1-10968-2508011858
it456,"18390-2508020910--31954,-31825-3-10968-2508022219"
it457,"18390-2508020850--31954,-31825-3-10968-2508022352"
it458,"18390-2508020700--31954,-31825-3-10968-2508022219"
it459,18467-2508020600--32385-1-10968-2508021015
it460,18467-2508020745--32385-1-10968-2508021215
it461,18467-2508021320--32385-1-10968-2508021833
it462,18467-2508021130--32385-1-10968-2508021647
it463,18467-2508021130--32385-1-10910-2508021715
it464,18467-2508021324--32573-0-10968-2508021544
it465,18467-2508020655--32573-0-10968-2508020915
it466,18467-2508021655--32573-0-10968-2508021915
it467,18467-2508020820--31722-0-10968-2508021042
it468,18467-2508022000--31722-0-10968-2508022222
it469,18467-2508021640--31722-0-10968-2508021902
it470,18467-2508021155--32573-1-10968-2508021550
it471,18467-2508020700--31722-1-10968-2508021124
it472,18467-2508020630--32573-1-10968-2508021108
it473,18467-2508031324--32573-0-10968-2508031544
it474,18467-2508031655--32573-0-10968-2508031915
it475,18467-2508030655--32573-0-10968-2508030915
it476,18467-2508030600--31679-1-10968-2508031015
it477,18467-2508031855--32385-1-10910-2508032338
it478,18467-2508031855--32385-1-10968-2508040001
it479,18467-2508030600--31679-1-10910-2508031357
it480,18467-2508031130--32385-1-10910-2508031534
it481,18467-2508030600--32385-1-10968-2508031015
it482,18467-2508031320--32385-1-10910-2508031749
it483,18467-2508030745--32385-1-10968-2508031215
it484,18467-2508031320--32385-1-10968-2508031833
it485,18467-2508030820--32695-0-10968-2508031042
it486,18467-2508031640--32695-0-10968-2508031902
it487,18467-2508032000--32695-0-10968-2508032222
it488,18467-2508031400--32695-1-10968-2508031858
it489,18467-2508030815--32695-1-10968-2508031320
it490,18467-2508031000--32695-1-10968-2508031522
it491,18390-2508031525--32695-1-10968-2508032130
it492,18467-2508030820--31722-0-10968-2508031042
it493,18467-2508031640--31722-0-10968-2508031902
it494,18467-2508030700--31722-1-10968-2508031124
it495,18467-2508030630--32573-1-10968-2508031108
it496,18467-2508040655--32573-0-10968-2508040915
it497,18467-2508041324--32573-0-10968-2508041544
it498,18467-2508041655--32573-0-10968-2508041915
it499,18467-2508041155--32573-1-10968-2508041550
it500,18467-2508040630--32573-1-10968-2508041108
it501,18467-2508040600--32385-1-10968-2508041015
it502,18467-2508041320--32385-1-10910-2508041749
it503,18467-2508041855--32385-1-10910-2508042338
it504,18467-2508041855--32385-1-10968-2508050001
it505,18467-2508041320--32385-1-10968-2508041833
it506,18467-2508040820--31722-0-10968-2508041042
it507,18467-2508041640--31722-0-10968-2508041902
it508,18467-2508042000--31722-0-10968-2508042222
it509,18467-2508051324--32573-0-10968-2508051544
it510,18467-2508051655--32573-0-10968-2508051915
it511,18467-2508050655--32573-0-10968-2508050915
it512,18467-2508051710--32385-1-10968-2508060001
it513,18467-2508050630--32573-1-10968-2508051342
it514,18467-2508050745--32385-1-10968-2508051647
it515,18467-2508050600--32385-1-10968-2508051015
it516,18467-2508051320--32385-1-10910-2508051749
it517,18467-2508050745--32385-1-10968-2508051215
it518,18467-2508050820--32695-0-10968-2508051042
it519,18467-2508052000--32695-0-10968-2508052222
it520,18467-2508051640--32695-0-10968-2508051902
it521,18467-2508050815--32695-1-10968-2508051320
it522,18467-2508051000--32695-1-10968-2508051522
it523,18390-2508051525--32695-1-10968-2508052130
it524,18467-2508050700--32695-1-10968-2508051320
it525,18467-2508050820--31722-0-10968-2508051042
it526,18467-2508051640--31722-0-10968-2508051902
it527,18467-2508052000--31722-0-10968-2508052222
it528,18467-2508051155--32573-1-10968-2508051550
it529,18467-2508051830--32573-1-10968-2508060041
it530,18467-2508060839--32573-0-10968-2508061054
it531,18467-2508061445--32573-0-10968-2508061705
it532,18467-2508061845--32573-0-10968-2508062105
it533,18467-2508060745--32385-1-10968-2508061215
it534,18467-2508060600--32385-1-10968-2508061015
it535,18467-2508061320--32385-1-10910-2508061749
it536,18467-2508061640--32695-0-10968-2508061902
it537,18467-2508060820--32695-0-10968-2508061042
it538,18467-2508062000--32695-0-10968-2508062222
it539,18467-2508061400--32695-1-10968-2508061858
it540,18467-2508060815--32695-1-10968-2508061320
