itinerary_id,cabin_class,price_formatted,flight_number,origin_airport,destination_airport,duration_minutes,stop_count,marketing_airline,operating_airline,is_self_transfer,score,Departure Date,Departure Time,Arrival Date,Arrival Time
18467-2601030800--32695-1-10968-2601031311,business,"C$1,110",501,Toronto Pearson International,Chicago O'Hare International,117,1,United Airlines,United Airlines,False,0.310184,2026-01-03,08:00:00,2026-01-03,08:57:00
18467-2601030800--32695-1-10968-2601031311,business,"C$1,110",3658,Chicago O'Hare International,Dallas Fort Worth International,146,1,United Airlines,United Airlines,False,0.310184,2026-01-03,10:45:00,2026-01-03,13:11:00
18467-2601031000--32695-1-10968-2601031554,business,"C$1,110",8903,Toronto Pearson International,Chicago O'Hare International,118,1,United Airlines,Air Canada,False,0.285687,2026-01-03,10:00:00,2026-01-03,10:58:00
18467-2601031000--32695-1-10968-2601031554,business,"C$1,110",4854,Chicago O'Hare International,Dallas Fort Worth International,154,1,United Airlines,Air Canada,False,0.285687,2026-01-03,13:20:00,2026-01-03,15:54:00
18390-2601031525--32695-1-10968-2601032224,business,C$968,7968,Toronto Island,Montreal Pierre Elliott Trudeau,75,1,Delta Air Lines,Delta Air Lines,False,0.268982,2026-01-03,15:25:00,2026-01-03,16:40:00
18390-2601031525--32695-1-10968-2601032224,business,C$968,8813,Montreal Pierre Elliott Trudeau,Dallas Fort Worth International,274,1,Delta Air Lines,Delta Air Lines,False,0.268982,2026-01-03,18:50:00,2026-01-03,22:24:00
18467-2601031500--32695-1-10968-2601032224,business,"C$1,095",416,Toronto Pearson International,Montreal Pierre Elliott Trudeau,78,1,Delta Air Lines,Delta Air Lines,False,0.243285,2026-01-03,15:00:00,2026-01-03,16:18:00
18467-2601031500--32695-1-10968-2601032224,business,"C$1,095",8813,Montreal Pierre Elliott Trudeau,Dallas Fort Worth International,274,1,Delta Air Lines,Delta Air Lines,False,0.243285,2026-01-03,18:50:00,2026-01-03,22:24:00
18467-2601031400--31722-0-10968-2601031642,first,C$596,8078,Toronto Pearson International,Dallas Fort Worth International,222,0,Delta Air Lines,Delta Air Lines,False,0.999,2026-01-03,14:00:00,2026-01-03,16:42:00
18467-2601031940--31722-0-10968-2601032222,first,C$596,8130,Toronto Pearson International,Dallas Fort Worth International,222,0,Delta Air Lines,Delta Air Lines,False,0.74572,2026-01-03,19:40:00,2026-01-03,22:22:00
18467-2601031125--32573-1-10968-2601031555,first,C$578,3604,Toronto Pearson International,Chicago O'Hare International,120,1,Delta Air Lines,Delta Air Lines,False,0.570458,2026-01-03,11:25:00,2026-01-03,12:25:00
18467-2601031125--32573-1-10968-2601031555,first,C$578,1961,Chicago O'Hare International,Dallas Fort Worth International,160,1,Delta Air Lines,Delta Air Lines,False,0.570458,2026-01-03,13:15:00,2026-01-03,15:55:00
18467-2601030615--32573-1-10968-2601031109,first,C$578,3524,Toronto Pearson International,Chicago O'Hare International,135,1,Delta Air Lines,Delta Air Lines,False,0.417915,2026-01-03,06:15:00,2026-01-03,07:30:00
18467-2601030615--32573-1-10968-2601031109,first,C$578,2247,Chicago O'Hare International,Dallas Fort Worth International,169,1,Air Canada,Air Canada,False,0.417915,2026-01-03,08:20:00,2026-01-03,11:09:00
18467-2601031310--32573-1-10968-2601031804,first,C$578,3606,Toronto Pearson International,Chicago O'Hare International,120,1,Air Canada,Air Canada,False,0.340739,2026-01-03,13:10:00,2026-01-03,14:10:00
18467-2601031310--32573-1-10968-2601031804,first,C$578,1390,Chicago O'Hare International,Dallas Fort Worth International,161,1,American Airlines,American Airlines,False,0.340739,2026-01-03,15:23:00,2026-01-03,18:04:00
18467-2601041825--32573-0-10968-2601042105,economy,C$585,1111,Toronto Pearson International,Dallas Fort Worth International,220,0,Air Canada,Republic Airline United Express,False,0.805563,2026-01-04,18:25:00,2026-01-04,21:05:00
18467-2601040809--32573-0-10968-2601041054,economy,C$585,1169,Toronto Pearson International,Dallas Fort Worth International,225,0,Air Canada,United Airlines,False,0.676232,2026-01-04,08:09:00,2026-01-04,10:54:00
18467-2601041405--32573-0-10968-2601041705,economy,C$585,3993,Toronto Pearson International,Dallas Fort Worth International,240,0,United Airlines,Air Canada,False,0.999,2026-01-04,14:05:00,2026-01-04,17:05:00
